Frage;A1;A2;A3;M1;M2;M3
Was ist der Euro-Rubel-Wechselkurs?;~1:43;~5:17;~1:76;0;100;50
Welche der folgenden Sprachen ist keine regionale Amtssprache Russlands?;Nogaiisch;Lesgisch;Rumbudisch;100;100;0
Wann ist der Tag Russlands?;12.06.;21.06.;04.05.;0;50;100
Jemand bietet dir Wodka an. Was sagst du?;“Da!“;„I’m sorry, what did you say? I don’t speak Russian.“;„Ya nemetskiy agent taynoy.“;0;50;100
Welcher Religion sollte deine Tarnidentität sicherheitshalber angehören?;Juden;Orthodoxe;Atheisten;100;0;50
Wer ist ein bekannter russischer Schriftsteller?;Iwan Bunin;Modest Mussorgski;Galina Ulanowa;0;50;100
Welches der folgenden ist kein russischer Volkstanz?;Balalaika;Balalalaika;Gusli;0;100;0
Welcher Sender ist im Hinblick auf Wichtigkeit vergleichbar mit CNN?;RT;Perwy Kanal;Echo Moskwy;0;50;100
Welcher Fernsehsender ist innerhalb Russland am weitesten verbreitet?;Erster Kanal;Rossjia;NTW;0;50;100
Vervollständige diese häufig verwendete russische Redewendung: Aus dem Feuer in…;die Flamme;die Mikrowelle;das Wasser;0;50;100
Welches ist die Tageszeitung mit der größten Auflage?;Trud;Komsomolskaja Prawda;Moskowski komsomolez;100;50;0
Vladimir Putin findest du…;ganz okay.;kritisch.;toll;50;100;0
Eine Tatiana Romanova nähert sich dir mit… eindeutigen Absichten. Du…;erschießt sie.;spielst mit ihr Scrabble.;redest mit ihr über Kryptographie. ;100;50;0
Wie heißt der deutsche Botschafter in Russland?;Samuel Mendes;Ulrich Brandenburg;Andreas Klaßen;100;0;50
Someone like Putin…;…full of strength;…who doesn’t drink;…who won’t run away;0;0;0
Wenn du Sergei Bozov tötest, dann…;…reduziert das deine Chancen bei Anya.;…erhöht das deine Chancen bei Anya.;…reduziert das deine Chancen bei Anya drastisch.;50;100;0
Die Mitglieder der Punkrock-Band „Pussy Riot“ wurden zu wievielen Jahren Straflager verurteilt?;Fünf;Drei;Zwei;100;50;0
Der Präsident wird für wie viele Jahre gewählt?;4 Jahre;2 Jahre;6 Jahre;50;100;0
Gibt es eine allgemeine Wehrpflicht? Wenn ja, wie lange?;Nein, es gibt keine.;Ja, 18 Monate.;Ja, 12 Monate.;100;50;0
Die Duma hat wieviele Sitze?;500;450;550;100;0;100
