Wie heißen die indigenen Völker Kanadas?;First Nations, Inuit und Métis;Inuit und First Nations;Engländer und Franzosen;100;50;0
Was ist die Hauptstadt Kanadas?;London;Ottawa;Paris;0;100;0
Auf welchem System ist die kanadische Regierungsform begründet?;Parliament-System;Ottawa-System;Westminster-System;50;0;100
Welches der folgenden ist keine Hauptstadt einer Provinz oder eines Territoriums Kanadas?;Yellowknight;Whitehorse;Greenprincess;0;0;100
Welche internationale Vereinbarung existiert nicht?;Ottawa-Konvention;Montreal-Protokoll;Winnipeg-Prozess;0;0;100
Welche Sprachen werden in Kanada gesprochen?;Deutsch und Englisch;Deutsch und Kanadanisch;Englisch und Französisch;50;0;100
Was wird in Kanada betrieben?;Bison-Zucht;Känguru-Zucht;Eisbärzucht;100;0;50
Welcher Bereich trägt den größten Anteil an Staatsausgaben?;Gesundheit;Bildung;Militär;100;50;0
Welches ist der beste Baum?;Eiche;Kastanie;Ahorn;50;50;100
Welche Form hat der Graph der Bevölkerungsentwicklung Kanadas zwischen 1961 und 2010?;Parabel;Gerade;Hyperbel;50;100;0
Ein Elch steht vor deiner Haustür. Wie reagierst du?;Du wunderst dich, ob du nicht doch gestern eventuell einen Wodka zu viel hattest. Das hier ist schließlich nicht Russland.;PANIK!!! TÖTE ES! TÖTE ES MIT FEUER!!! Nein, warte. Elch, nicht Spinne. Alles in Ordnung.;Fange an zu tanzen. Versuche den Elch zum Mittanzen zu animieren.;50;50;50
