Welches ist die Hauptstadt Saudi-Arabiens?;Riad;Yanbu;Medina;100;0;50
Wie hoch ist der Anteil von weiblichen Professoren?;20%;30%;60%;0;50;100
Was für einem Test müssen sich heiratswillige Paare vor einer Hochzeit unterziehen?;Gen-Test;HIV-Test;Persönlichkeits-Test;100;50;0
Saudi-Arabien ist eine…;Monarchie;Demokratie;Theokratie;100;0;50
Wie viele der Minister warden vom König ernannt?;100%;50%;20%;50;100;0
Welche der folgenden Parteien arbeitet im Untergrund und wird strafrechtlich verfolgt?;Arabische Kommunistische Partei Saudi-Arabien;Grüne Partei Saudi-Arabiens;Movement for Islamic Freedom in Arabia;0;100;50
Was ist Frauen in Saudi-Arabien verboten?;Autofahren;Make-Up;Restaurantbesuche;100;0;50
Wie heißt der König von Saudi-Arabien?;Abdullah;Abd al-Aziz al Saud;Faisal;100;50;0
Welches der folgenden Ministerien existiert nicht?;Ministerium für Pilgerfahrt;Ministerium für Straßenbau;Ministerium für Telekommunikation und Internet;0;100;50
Dir wird vorgeschlagen eine Mut’a-Ehe einzugehen. Was tust du?;Du beginnst mit den Hochzeitsvorbereitungen.;Du lehnst höflich aber bestimmt ab. ;Du willigst ein und holst das Scrabble-Brett raus.;0;100;50
Welche Kleidung ist in Saudi-Arabien für alle Frauen Pflicht?;Reizwäsche;Niqab;Abaya oder Hidschab;0;50;100
Was sollte man als männlicher Agent vermeiden?;Herumzeigen der Bilder aus dem letzten Mallorca-Urlaub.;Fremde Frauen auf der Straße anzusprechen.;Versuchen die Passanten zum Christentum zu missionieren.;100;100;100
